SERVICIO,LM-VBALL,LM-BANCA,LM-PACHE,LM-BENAV,LM-MASCH,LM-ESCOB,LM-RIOLU,LM-OTAME,LM-CAMPA,LM-KM.83,LM-ZARA
2501,02:42,03:00,03:04,03:14,03:20,03:32,03:44,03:51,04:00,04:05,04:17
2503,04:40,04:58,05:02,05:12,05:18,05:30,05:42,05:49,05:58,06:03,06:15
2505,06:42,07:00,07:04,07:14,07:20,07:32,07:44,07:51,08:00,08:05,08:17
2507,08:43,09:01,09:05,09:15,09:21,09:33,09:45,09:52,10:01,10:06,10:18
2509,10:44,11:02,11:06,11:16,11:22,11:34,11:46,11:53,12:02,12:07,12:19
2511,12:42,13:00,13:04,13:14,13:20,13:32,13:44,13:51,14:00,14:05,14:17
2513,15:02,15:20,15:24,15:34,15:40,15:52,16:04,16:11,16:20,16:25,16:37
2515,17:01,17:19,17:23,17:33,17:39,17:51,18:03,18:10,18:19,18:24,18:36
2517,19:02,19:20,19:24,19:34,19:40,19:52,20:04,20:11,20:20,20:25,20:37
2519,21:02,21:20,21:24,21:34,21:40,21:52,22:04,22:11,22:20,
